step,region_i,region_j,E_i,E_j,E_t,epsilon,accepted,reject_reason
0,0,2,0.820756,0.72844,0.649337,0.320639,false,"delta=0.899858 >= epsilon"
0,0,6,0.820756,0.737215,0.650012,0.320639,false,"delta=0.907959 >= epsilon"
0,0,8,0.820756,0.652436,0.473665,0.320639,false,"delta=0.999527 >= epsilon"
0,1,2,0.720335,0.72844,0.608264,0.320639,false,"delta=0.840510 >= epsilon"
0,1,3,0.720335,0.877745,0.389482,0.320639,false,"delta=1.208598 >= epsilon"
0,1,4,0.720335,0.7541,0.447892,0.320639,false,"delta=1.026543 >= epsilon"
0,1,5,0.720335,0.724702,0.524812,0.320639,false,"delta=0.920225 >= epsilon"
0,1,6,0.720335,0.737215,0.240189,0.320639,false,"delta=1.217361 >= epsilon"
0,1,7,0.720335,0.851849,0.710465,0.320639,false,"delta=0.861719 >= epsilon"
0,2,6,0.72844,0.737215,0.467621,0.320639,false,"delta=0.998033 >= epsilon"
0,2,7,0.72844,0.851849,0.412812,0.320639,false,"delta=1.167476 >= epsilon"
0,2,8,0.72844,0.652436,0.400834,0.320639,false,"delta=0.980042 >= epsilon"
0,3,4,0.877745,0.7541,0.464185,0.320639,false,"delta=1.167660 >= epsilon"
0,3,6,0.877745,0.737215,0.408257,0.320639,false,"delta=1.206703 >= epsilon"
0,4,5,0.7541,0.724702,0.558951,0.320639,false,"delta=0.919852 >= epsilon"
0,4,6,0.7541,0.737215,0.57361,0.320639,false,"delta=0.917705 >= epsilon"
0,5,6,0.724702,0.737215,0.508413,0.320639,false,"delta=0.953504 >= epsilon"
0,5,7,0.724702,0.851849,0.536817,0.320639,false,"delta=1.039734 >= epsilon"
0,5,9,0.724702,0.501937,0.367315,0.320639,false,"delta=0.859324 >= epsilon"
0,6,8,0.737215,0.652436,0.542562,0.320639,false,"delta=0.847088 >= epsilon"
0,6,9,0.737215,0.501937,0.662263,0.320639,false,"delta=0.576889 >= epsilon"
0,7,8,0.851849,0.652436,0.539306,0.320639,false,"delta=0.964978 >= epsilon"
0,7,9,0.851849,0.501937,0.415016,0.320639,false,"delta=0.938770 >= epsilon"
0,8,9,0.652436,0.501937,0.211602,0.320639,false,"delta=0.942771 >= epsilon"
