proxy_id,is_valid,quadric_type,coeff_norm,h_condition,q_condition,region_error,invalid_reason,sigma_H_0,sigma_H_1,sigma_H_2,sigma_H_3,lambda_Q_0,lambda_Q_1,lambda_Q_2,sigma3_ratio
0,false,ELLIPSOID,1,924.454,2.57609,6.489e-07,"near_pair_of_planes",0.769573,0.527771,0.300736,0.000832462,-0.769482,-0.526651,-0.298702,0.00276809
1,false,ELLIPSOID,1,531.264,2.04943,4.30943e-07,"near_pair_of_planes",0.772194,0.500957,0.377728,0.0014535,-0.772065,-0.499808,-0.376722,0.00384802
2,false,HYPERBOLOID_TWO_SHEETS,1,224763,4325.7,1.26903e-06,"two_sheet_span",0.997031,0.00187909,0.000236371,4.43592e-06,-0.00187893,-0.000230167,0.995633,0.0187668
3,false,HYPERBOLOID_TWO_SHEETS,1,20738.6,73.2909,1.63815e-07,"near_pair_of_planes",0.733817,0.505102,0.0100208,3.53841e-05,-0.733793,-0.493021,0.0100121,0.00353105
4,false,ELLIPSOID,1,2557.42,2.20486,6.71359e-07,"pair_of_planes",0.790315,0.475065,0.356584,0.000309028,0.356528,0.467321,0.786096,0.000866635
5,false,HYPERBOLOID_TWO_SHEETS,1,1848.93,2.19505,2.34021e-06,"near_pair_of_planes; two_sheet_span",0.69458,0.485112,0.314836,0.000375665,-0.485052,-0.314823,0.691053,0.00119321
6,false,HYPERBOLOID_TWO_SHEETS,1,403546,19.6233,1.63109e-07,"pair_of_planes",0.812643,0.179389,0.0418353,2.01375e-06,-0.17822,0.0411937,0.808358,4.81353e-05
7,true,HYPERBOLOID_ONE_SHEET,1,4785.25,12955.9,6.63205e-07,"",0.855879,0.37324,0.000316137,0.000178858,-6.60523e-05,0.364822,0.855767,0.56576
8,false,HYPERBOLOID_ONE_SHEET,1,5582.65,1.61223,5.23254e-07,"pair_of_planes",0.562844,0.542565,0.351078,0.00010082,-0.540504,0.349107,0.562841,0.000287173
9,false,ELLIPSOID,1,1996.47,3.63512,2.81635e-07,"near_pair_of_planes",0.725795,0.646442,0.199191,0.000363538,0.199079,0.64642,0.723676,0.00182508
10,false,HYPERBOLOID_TWO_SHEETS,1,7141.56,5.94038,1.89979e-07,"pair_of_planes",0.733417,0.179617,0.121421,0.000102697,-0.7203,-0.121255,0.178575,0.000845793
11,false,HYPERBOLOID_TWO_SHEETS,1,1661.61,7.63159,3.21208e-07,"near_pair_of_planes; two_sheet_span",0.78984,0.362384,0.105473,0.000475347,-0.103496,0.362356,0.789839,0.00450682
12,false,HYPERBOLOID_ONE_SHEET,1,834.529,2.28548,5.35527e-07,"near_pair_of_planes",0.676639,0.432935,0.301797,0.000810803,-0.676636,-0.430741,0.296058,0.00268659
13,false,HYPERBOLOID_TWO_SHEETS,1,965744,8.13122,2.35408e-19,"pair_of_planes; rank_deficient; two_sheet_span",0.889639,0.261907,0.10639,9.21196e-07,-0.86495,0.106374,0.261808,8.65863e-06
