region_i,region_j,fuzzy_count,v0_count,v1_count,cut_cost,relabeled_count,boundary_before,boundary_after
0,1,194,101,90,88.2155,3,0.140377,0.143679
0,2,334,161,168,152.142,5,0.25003,0.257708
0,3,43,20,20,15.6779,3,0.0189423,0.0219705
0,5,314,157,154,141.598,3,0.226939,0.233841
0,6,63,32,28,32.4276,3,0.0461161,0.0533911
1,2,355,171,173,180.278,11,0.305094,0.308506
1,4,95,43,47,35.425,5,0.048972,0.048972
2,4,398,186,203,191.095,9,0.31368,0.328034
2,7,206,97,104,88.832,5,0.145757,0.145757
3,5,77,40,32,30.9699,5,0.0454476,0.0488824
3,6,98,43,48,46.3942,7,0.0674907,0.0707265
4,7,38,15,21,19.376,2,0.0309533,0.0363279
5,6,248,118,127,121.793,3,0.190121,0.197231
