step,region_i,region_j,E_i,E_j,E_t,epsilon,accepted,reject_reason
1,1,2,1.60314e-06,8.92209e-07,2.04213e-06,8.16408e-07,true,""
1,0,1,7.55592e-07,1.60314e-06,5.50794e-06,8.16408e-07,false,"delta=0.000003 >= epsilon=0.000001"
1,0,2,7.55592e-07,8.92209e-07,1.32149e-05,8.16408e-07,false,"delta=0.000012 >= epsilon=0.000001"
1,0,4,7.55592e-07,1.63282e-06,1.00821e-05,8.16408e-07,false,"delta=0.000008 >= epsilon=0.000001"
1,0,5,7.55592e-07,7.28881e-07,7.53983e-06,8.16408e-07,false,"delta=0.000006 >= epsilon=0.000001"
1,0,9,7.55592e-07,5.78121e-07,9.94303e-06,8.16408e-07,false,"delta=0.000009 >= epsilon=0.000001"
1,1,4,1.60314e-06,1.63282e-06,1.09655e-05,8.16408e-07,false,"delta=0.000008 >= epsilon=0.000001"
1,1,8,1.60314e-06,6.93917e-07,6.72312e-06,8.16408e-07,false,"delta=0.000004 >= epsilon=0.000001"
1,2,4,8.92209e-07,1.63282e-06,3.87625e-06,8.16408e-07,false,"delta=0.000001 >= epsilon=0.000001"
1,2,7,8.92209e-07,3.43326e-07,4.68809e-06,8.16408e-07,false,"delta=0.000003 >= epsilon=0.000001"
1,2,8,8.92209e-07,6.93917e-07,1.09516e-05,8.16408e-07,false,"delta=0.000009 >= epsilon=0.000001"
1,2,9,8.92209e-07,5.78121e-07,1.86394e-05,8.16408e-07,false,"delta=0.000017 >= epsilon=0.000001"
1,3,5,1.27219e-06,7.28881e-07,2.04204e-05,8.16408e-07,false,"delta=0.000018 >= epsilon=0.000001"
1,3,6,1.27219e-06,9.98022e-07,7.66607e-06,8.16408e-07,false,"delta=0.000005 >= epsilon=0.000001"
1,3,9,1.27219e-06,5.78121e-07,1.18998e-05,8.16408e-07,false,"delta=0.000010 >= epsilon=0.000001"
1,4,8,1.63282e-06,6.93917e-07,5.48637e-06,8.16408e-07,false,"delta=0.000003 >= epsilon=0.000001"
1,5,6,7.28881e-07,9.98022e-07,1.45065e-05,8.16408e-07,false,"delta=0.000013 >= epsilon=0.000001"
1,5,9,7.28881e-07,5.78121e-07,1.08478e-05,8.16408e-07,false,"delta=0.000010 >= epsilon=0.000001"
1,6,9,9.98022e-07,5.78121e-07,8.68227e-06,8.16408e-07,false,"delta=0.000007 >= epsilon=0.000001"
1,7,8,3.43326e-07,6.93917e-07,6.27914e-06,8.16408e-07,false,"delta=0.000005 >= epsilon=0.000001"
1,0,1,1.54229e-06,9.59093e-07,1.29505e-05,1.00842e-06,false,"delta=0.000010 >= epsilon=0.000001"
1,0,3,1.54229e-06,2.01684e-06,1.06341e-05,1.00842e-06,false,"delta=0.000007 >= epsilon=0.000001"
1,0,4,1.54229e-06,9.80996e-07,1.49845e-05,1.00842e-06,false,"delta=0.000012 >= epsilon=0.000001"
1,0,8,1.54229e-06,1.56475e-06,1.71485e-05,1.00842e-06,false,"delta=0.000014 >= epsilon=0.000001"
1,1,3,9.59093e-07,2.01684e-06,4.48064e-06,1.00842e-06,false,"delta=0.000002 >= epsilon=0.000001"
1,1,6,9.59093e-07,3.73718e-07,5.03731e-06,1.00842e-06,false,"delta=0.000004 >= epsilon=0.000001"
1,1,7,9.59093e-07,1.12844e-06,1.18996e-05,1.00842e-06,false,"delta=0.000010 >= epsilon=0.000001"
1,1,8,9.59093e-07,1.56475e-06,2.24871e-05,1.00842e-06,false,"delta=0.000020 >= epsilon=0.000001"
1,2,4,1.30484e-06,9.80996e-07,2.11311e-05,1.00842e-06,false,"delta=0.000019 >= epsilon=0.000001"
1,2,5,1.30484e-06,1.10458e-06,7.16806e-06,1.00842e-06,false,"delta=0.000005 >= epsilon=0.000001"
1,2,8,1.30484e-06,1.56475e-06,1.39329e-05,1.00842e-06,false,"delta=0.000011 >= epsilon=0.000001"
1,3,7,2.01684e-06,1.12844e-06,5.90486e-06,1.00842e-06,false,"delta=0.000003 >= epsilon=0.000001"
1,4,5,9.80996e-07,1.10458e-06,1.47325e-05,1.00842e-06,false,"delta=0.000013 >= epsilon=0.000001"
1,4,8,9.80996e-07,1.56475e-06,1.34353e-05,1.00842e-06,false,"delta=0.000011 >= epsilon=0.000001"
1,5,8,1.10458e-06,1.56475e-06,7.70891e-06,1.00842e-06,false,"delta=0.000005 >= epsilon=0.000001"
1,6,7,3.73718e-07,1.12844e-06,7.82467e-06,1.00842e-06,false,"delta=0.000006 >= epsilon=0.000001"
