iter,num_proxies,total_error,changed_faces,max_region_error,region_0_faces,region_0_error,region_1_faces,region_1_error,region_2_faces,region_2_error
1,3,5.11194e-07,1038,1.93998e-07,1430,1.4788e-07,1060,1.40396e-07,2630,1.93998e-07
2,3,4.90022e-07,275,1.89594e-07,1387,1.43014e-07,1146,1.27118e-07,2587,1.89594e-07
3,3,4.85396e-07,136,1.86431e-07,1366,1.4651e-07,1174,1.23924e-07,2580,1.86431e-07
4,3,4.81857e-07,81,1.83521e-07,1371,1.46774e-07,1185,1.25579e-07,2564,1.83521e-07
5,3,4.6553e-07,159,1.73439e-07,1334,1.42774e-07,1252,1.30137e-07,2534,1.73439e-07
6,3,4.62727e-07,190,1.70795e-07,1283,1.43744e-07,1277,1.30324e-07,2560,1.70795e-07
7,3,5.84183e-07,2262,2.23615e-07,1324,1.54337e-07,3160,2.23615e-07,636,1.31978e-07
8,3,5.39094e-07,694,2.09507e-07,1218,1.33891e-07,3243,2.09507e-07,659,1.14572e-07
9,3,5.44361e-07,353,2.09006e-07,972,1.27006e-07,3462,2.09006e-07,686,1.15725e-07
10,3,5.0243e-07,353,1.94991e-07,1116,1.1651e-07,3283,1.94991e-07,721,1.16705e-07
